"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","RH2M","T2M","PRECTOTCORR"
"1",60.59,56.84,2020,1,1,1,2020-01-01,99.06,-9.49,0.44
"2",60.59,56.84,2020,1,2,2,2020-01-02,98.94,-12.16,2.17
"3",60.59,56.84,2020,1,3,3,2020-01-03,99.06,-15.93,1.52
"4",60.59,56.84,2020,1,4,4,2020-01-04,98.38,-7.49,1.08
"5",60.59,56.84,2020,1,5,5,2020-01-05,99.06,-6.7,0.07
"6",60.59,56.84,2020,1,6,6,2020-01-06,99.38,-7.72,0.06
"7",60.59,56.84,2020,1,7,7,2020-01-07,100,-13.6,0.15
"8",60.59,56.84,2020,1,8,8,2020-01-08,100,-13.43,0.29
"9",60.59,56.84,2020,1,9,9,2020-01-09,99.19,-11.77,0.11
"10",60.59,56.84,2020,1,10,10,2020-01-10,98.31,-8.37,0.54
"11",60.59,56.84,2020,1,11,11,2020-01-11,98.75,-11.79,0.53
"12",60.59,56.84,2020,1,12,12,2020-01-12,99.06,-10.31,0.29
"13",60.59,56.84,2020,1,13,13,2020-01-13,97.81,-8.11,0.95
"14",60.59,56.84,2020,1,14,14,2020-01-14,98.56,-8.37,0.33
"15",60.59,56.84,2020,1,15,15,2020-01-15,99.06,-9.67,0.11
"16",60.59,56.84,2020,1,16,16,2020-01-16,97.69,-4.63,1.06
"17",60.59,56.84,2020,1,17,17,2020-01-17,98.75,-5.83,0.61
"18",60.59,56.84,2020,1,18,18,2020-01-18,98.75,-9.61,0.53
"19",60.59,56.84,2020,1,19,19,2020-01-19,99.06,-11.54,3.3
"20",60.59,56.84,2020,1,20,20,2020-01-20,99.44,-10.25,4.07
"21",60.59,56.84,2020,1,21,21,2020-01-21,99.62,-15.61,0.37
"22",60.59,56.84,2020,1,22,22,2020-01-22,99.31,-8.04,3.19
"23",60.59,56.84,2020,1,23,23,2020-01-23,98.81,-7.45,1.36
"24",60.59,56.84,2020,1,24,24,2020-01-24,99.19,-11.38,0.31
"25",60.59,56.84,2020,1,25,25,2020-01-25,98.75,-14.24,0.98
"26",60.59,56.84,2020,1,26,26,2020-01-26,99.38,-13.33,1.2
"27",60.59,56.84,2020,1,27,27,2020-01-27,99.06,-16.59,0.83
"28",60.59,56.84,2020,1,28,28,2020-01-28,98.75,-22.93,0.07
"29",60.59,56.84,2020,1,29,29,2020-01-29,99.56,-24.74,0.04
"30",60.59,56.84,2020,1,30,30,2020-01-30,99.25,-15.17,2.26
"31",60.59,56.84,2020,1,31,31,2020-01-31,99.25,-7.47,1.44
"32",60.59,56.84,2020,2,1,32,2020-02-01,99.56,-10.3,3.32
"33",60.59,56.84,2020,2,2,33,2020-02-02,99.19,-10.47,3.08
"34",60.59,56.84,2020,2,3,34,2020-02-03,99.62,-10.64,0.58
"35",60.59,56.84,2020,2,4,35,2020-02-04,99,-5.6,3.31
"36",60.59,56.84,2020,2,5,36,2020-02-05,98.44,-4.1,1.97
"37",60.59,56.84,2020,2,6,37,2020-02-06,98,-9.51,0.41
"38",60.59,56.84,2020,2,7,38,2020-02-07,99.06,-15.65,0.04
"39",60.59,56.84,2020,2,8,39,2020-02-08,99,-14.85,1.58
"40",60.59,56.84,2020,2,9,40,2020-02-09,99.25,-20.77,0.27
"41",60.59,56.84,2020,2,10,41,2020-02-10,98.56,-15.83,0.76
"42",60.59,56.84,2020,2,11,42,2020-02-11,98.69,-12.67,0.07
"43",60.59,56.84,2020,2,12,43,2020-02-12,98.5,-9.85,0.06
"44",60.59,56.84,2020,2,13,44,2020-02-13,97.31,-8.03,0.9
"45",60.59,56.84,2020,2,14,45,2020-02-14,98.62,-10.44,0.51
"46",60.59,56.84,2020,2,15,46,2020-02-15,98.69,-13.2,0.13
"47",60.59,56.84,2020,2,16,47,2020-02-16,99,-12.27,0.17
"48",60.59,56.84,2020,2,17,48,2020-02-17,99,-12.75,0.11
"49",60.59,56.84,2020,2,18,49,2020-02-18,98.06,-4.88,2.67
"50",60.59,56.84,2020,2,19,50,2020-02-19,97.69,-1.97,0.62
"51",60.59,56.84,2020,2,20,51,2020-02-20,98.69,-3.07,0.69
"52",60.59,56.84,2020,2,21,52,2020-02-21,98.62,-3.55,0.27
"53",60.59,56.84,2020,2,22,53,2020-02-22,98.56,-5.44,0.2
"54",60.59,56.84,2020,2,23,54,2020-02-23,98.94,-5.74,0.11
"55",60.59,56.84,2020,2,24,55,2020-02-24,99,-7.99,1.82
"56",60.59,56.84,2020,2,25,56,2020-02-25,98.69,-6.2,0.16
"57",60.59,56.84,2020,2,26,57,2020-02-26,99.25,-8.32,8.12
"58",60.59,56.84,2020,2,27,58,2020-02-27,97.88,-6.65,0.8
"59",60.59,56.84,2020,2,28,59,2020-02-28,97.94,-2.52,3.58
"60",60.59,56.84,2020,2,29,60,2020-02-29,97.5,-2.59,0.07
"61",60.59,56.84,2020,3,1,61,2020-03-01,97.5,-4.28,0.08
"62",60.59,56.84,2020,3,2,62,2020-03-02,97.88,-7.23,0.11
"63",60.59,56.84,2020,3,3,63,2020-03-03,97.56,-1.51,0.61
"64",60.59,56.84,2020,3,4,64,2020-03-04,97.69,-3.38,1.21
"65",60.59,56.84,2020,3,5,65,2020-03-05,97.56,-12.8,0.06
"66",60.59,56.84,2020,3,6,66,2020-03-06,98.44,-12.49,10.99
"67",60.59,56.84,2020,3,7,67,2020-03-07,96.25,-7.2,0.06
"68",60.59,56.84,2020,3,8,68,2020-03-08,96.12,-5.43,0.36
"69",60.59,56.84,2020,3,9,69,2020-03-09,98,-2.79,2.53
"70",60.59,56.84,2020,3,10,70,2020-03-10,98.25,-2.75,0.55
"71",60.59,56.84,2020,3,11,71,2020-03-11,98,-1.61,0.41
"72",60.59,56.84,2020,3,12,72,2020-03-12,95.69,-0.5,0.01
"73",60.59,56.84,2020,3,13,73,2020-03-13,97.62,0.08,1.32
"74",60.59,56.84,2020,3,14,74,2020-03-14,96.88,-0.02,0.42
"75",60.59,56.84,2020,3,15,75,2020-03-15,98.38,-2.16,5.81
"76",60.59,56.84,2020,3,16,76,2020-03-16,97.94,-2.93,5.13
"77",60.59,56.84,2020,3,17,77,2020-03-17,97.19,-4.49,2.42
"78",60.59,56.84,2020,3,18,78,2020-03-18,96.69,-3.28,0.05
"79",60.59,56.84,2020,3,19,79,2020-03-19,96.81,-0.4,0.79
"80",60.59,56.84,2020,3,20,80,2020-03-20,97.62,-0.17,0.71
"81",60.59,56.84,2020,3,21,81,2020-03-21,98.25,-4.83,0.56
"82",60.59,56.84,2020,3,22,82,2020-03-22,96.69,-7.13,2.61
"83",60.59,56.84,2020,3,23,83,2020-03-23,88.81,-9.26,0.02
"84",60.59,56.84,2020,3,24,84,2020-03-24,98.69,-7.81,0.21
"85",60.59,56.84,2020,3,25,85,2020-03-25,97.5,-2.25,0.24
"86",60.59,56.84,2020,3,26,86,2020-03-26,97,-2.18,0.27
"87",60.59,56.84,2020,3,27,87,2020-03-27,97.75,-1.52,0.08
"88",60.59,56.84,2020,3,28,88,2020-03-28,98.12,-2.07,0.11
"89",60.59,56.84,2020,3,29,89,2020-03-29,96.44,-0.21,0.05
"90",60.59,56.84,2020,3,30,90,2020-03-30,91.12,0.81,0
"91",60.59,56.84,2020,3,31,91,2020-03-31,82.88,1.97,0
"92",60.59,56.84,2020,4,1,92,2020-04-01,85.81,2.78,0.02
"93",60.59,56.84,2020,4,2,93,2020-04-02,77.25,-2.67,0.53
"94",60.59,56.84,2020,4,3,94,2020-04-03,84.81,0.04,0.02
"95",60.59,56.84,2020,4,4,95,2020-04-04,91.06,0.32,5.86
"96",60.59,56.84,2020,4,5,96,2020-04-05,85.25,2.63,2.35
"97",60.59,56.84,2020,4,6,97,2020-04-06,89.69,-0.75,3.42
"98",60.59,56.84,2020,4,7,98,2020-04-07,77,-3.28,0.39
"99",60.59,56.84,2020,4,8,99,2020-04-08,77.38,-5.31,0.03
"100",60.59,56.84,2020,4,9,100,2020-04-09,90.12,-2.27,0.65
"101",60.59,56.84,2020,4,10,101,2020-04-10,87.62,3.1,0.25
"102",60.59,56.84,2020,4,11,102,2020-04-11,76.31,3.78,0
"103",60.59,56.84,2020,4,12,103,2020-04-12,93,3.18,2.72
"104",60.59,56.84,2020,4,13,104,2020-04-13,90.12,2.74,3.33
"105",60.59,56.84,2020,4,14,105,2020-04-14,87.5,1.25,2.98
"106",60.59,56.84,2020,4,15,106,2020-04-15,83.38,2.84,1.34
"107",60.59,56.84,2020,4,16,107,2020-04-16,85.94,5.48,1.8
"108",60.59,56.84,2020,4,17,108,2020-04-17,81.69,3.34,4.11
"109",60.59,56.84,2020,4,18,109,2020-04-18,85.62,3.15,1.35
"110",60.59,56.84,2020,4,19,110,2020-04-19,81.62,2.87,0.33
"111",60.59,56.84,2020,4,20,111,2020-04-20,86.56,4.42,3.44
"112",60.59,56.84,2020,4,21,112,2020-04-21,86.94,7.02,1.68
"113",60.59,56.84,2020,4,22,113,2020-04-22,88.81,6.43,7.23
"114",60.59,56.84,2020,4,23,114,2020-04-23,82.94,2.28,1.7
"115",60.59,56.84,2020,4,24,115,2020-04-24,73.88,-0.99,0.69
"116",60.59,56.84,2020,4,25,116,2020-04-25,78.31,1.8,2.7
"117",60.59,56.84,2020,4,26,117,2020-04-26,78.12,8.15,1.27
"118",60.59,56.84,2020,4,27,118,2020-04-27,78.25,7.82,0.06
"119",60.59,56.84,2020,4,28,119,2020-04-28,82.12,8.86,1.27
"120",60.59,56.84,2020,4,29,120,2020-04-29,83.88,5.37,1.09
"121",60.59,56.84,2020,4,30,121,2020-04-30,90.5,5.18,3.53
"122",60.59,56.84,2020,5,1,122,2020-05-01,79.19,5.38,1.06
"123",60.59,56.84,2020,5,2,123,2020-05-02,87.56,2.94,9.13
"124",60.59,56.84,2020,5,3,124,2020-05-03,78.56,2.54,0.06
"125",60.59,56.84,2020,5,4,125,2020-05-04,67.06,6.07,0
"126",60.59,56.84,2020,5,5,126,2020-05-05,69.75,11.87,0
"127",60.59,56.84,2020,5,6,127,2020-05-06,67.25,14.88,0
"128",60.59,56.84,2020,5,7,128,2020-05-07,63.69,16.39,0
"129",60.59,56.84,2020,5,8,129,2020-05-08,68.62,15.38,0
"130",60.59,56.84,2020,5,9,130,2020-05-09,68.62,15.81,0
"131",60.59,56.84,2020,5,10,131,2020-05-10,80.25,14.98,0.07
"132",60.59,56.84,2020,5,11,132,2020-05-11,82.12,14.49,4.32
"133",60.59,56.84,2020,5,12,133,2020-05-12,80.88,15.51,2.7
"134",60.59,56.84,2020,5,13,134,2020-05-13,78.88,12.98,0.2
"135",60.59,56.84,2020,5,14,135,2020-05-14,79,13.68,0.53
"136",60.59,56.84,2020,5,15,136,2020-05-15,69,9.66,0.06
"137",60.59,56.84,2020,5,16,137,2020-05-16,81.38,9.19,1.11
"138",60.59,56.84,2020,5,17,138,2020-05-17,75.75,7.95,0.07
"139",60.59,56.84,2020,5,18,139,2020-05-18,65.25,9.57,0.06
"140",60.59,56.84,2020,5,19,140,2020-05-19,81.5,7.3,3.72
"141",60.59,56.84,2020,5,20,141,2020-05-20,84.56,9.66,1.43
"142",60.59,56.84,2020,5,21,142,2020-05-21,79.06,8.66,4.89
"143",60.59,56.84,2020,5,22,143,2020-05-22,77.19,11.21,6.38
"144",60.59,56.84,2020,5,23,144,2020-05-23,67.38,12.74,0.07
"145",60.59,56.84,2020,5,24,145,2020-05-24,84.12,16.2,6.91
"146",60.59,56.84,2020,5,25,146,2020-05-25,86.31,15.53,5.41
"147",60.59,56.84,2020,5,26,147,2020-05-26,74.94,12.65,0
"148",60.59,56.84,2020,5,27,148,2020-05-27,74.38,14.3,0.05
"149",60.59,56.84,2020,5,28,149,2020-05-28,76.69,16.91,0.22
"150",60.59,56.84,2020,5,29,150,2020-05-29,73.75,14.8,0
"151",60.59,56.84,2020,5,30,151,2020-05-30,73.62,16.34,0.05
"152",60.59,56.84,2020,5,31,152,2020-05-31,90.06,11.19,6.39
"153",60.59,56.84,2020,6,1,153,2020-06-01,90.12,7.59,8.87
"154",60.59,56.84,2020,6,2,154,2020-06-02,76,9.11,1.94
"155",60.59,56.84,2020,6,3,155,2020-06-03,72.5,10.87,0.19
"156",60.59,56.84,2020,6,4,156,2020-06-04,71.75,10.9,0
"157",60.59,56.84,2020,6,5,157,2020-06-05,66,13.51,0
"158",60.59,56.84,2020,6,6,158,2020-06-06,66.31,15.74,0
"159",60.59,56.84,2020,6,7,159,2020-06-07,67.19,16.74,0
"160",60.59,56.84,2020,6,8,160,2020-06-08,59.12,19.84,0
"161",60.59,56.84,2020,6,9,161,2020-06-09,52.88,22.15,0
"162",60.59,56.84,2020,6,10,162,2020-06-10,51.81,23.87,0.02
"163",60.59,56.84,2020,6,11,163,2020-06-11,78.56,19.4,2.66
"164",60.59,56.84,2020,6,12,164,2020-06-12,84,17.5,5.89
"165",60.59,56.84,2020,6,13,165,2020-06-13,68.06,10.73,0.49
"166",60.59,56.84,2020,6,14,166,2020-06-14,70.31,10.19,0.01
"167",60.59,56.84,2020,6,15,167,2020-06-15,70.06,15.14,0.02
"168",60.59,56.84,2020,6,16,168,2020-06-16,70.12,17.53,0.02
"169",60.59,56.84,2020,6,17,169,2020-06-17,76.25,16.19,0.96
"170",60.59,56.84,2020,6,18,170,2020-06-18,69.69,11.56,0.24
"171",60.59,56.84,2020,6,19,171,2020-06-19,68.12,12.44,0.1
"172",60.59,56.84,2020,6,20,172,2020-06-20,79.5,13.48,2.17
"173",60.59,56.84,2020,6,21,173,2020-06-21,74.31,9.8,0.92
"174",60.59,56.84,2020,6,22,174,2020-06-22,73.5,10.46,0.17
"175",60.59,56.84,2020,6,23,175,2020-06-23,77.44,11.71,0.38
"176",60.59,56.84,2020,6,24,176,2020-06-24,82.12,12.81,6.03
"177",60.59,56.84,2020,6,25,177,2020-06-25,78.12,8.99,1.13
"178",60.59,56.84,2020,6,26,178,2020-06-26,80.5,8.95,2.55
"179",60.59,56.84,2020,6,27,179,2020-06-27,74.25,10.58,0.16
"180",60.59,56.84,2020,6,28,180,2020-06-28,91.31,9.62,20.52
"181",60.59,56.84,2020,6,29,181,2020-06-29,88.81,8.5,2.39
"182",60.59,56.84,2020,6,30,182,2020-06-30,80.56,9.61,1.19
"183",60.59,56.84,2020,7,1,183,2020-07-01,77.94,11,1.38
"184",60.59,56.84,2020,7,2,184,2020-07-02,71.12,13.67,0.02
"185",60.59,56.84,2020,7,3,185,2020-07-03,80.38,15.51,2.58
"186",60.59,56.84,2020,7,4,186,2020-07-04,75.88,17.87,0.38
"187",60.59,56.84,2020,7,5,187,2020-07-05,90.06,17.06,8.45
"188",60.59,56.84,2020,7,6,188,2020-07-06,79.62,20.66,2.59
"189",60.59,56.84,2020,7,7,189,2020-07-07,74.69,22.85,0.83
"190",60.59,56.84,2020,7,8,190,2020-07-08,67.88,24.06,0
"191",60.59,56.84,2020,7,9,191,2020-07-09,68.06,24.83,0
"192",60.59,56.84,2020,7,10,192,2020-07-10,66.69,26.06,0.01
"193",60.59,56.84,2020,7,11,193,2020-07-11,76.25,22.73,0.97
"194",60.59,56.84,2020,7,12,194,2020-07-12,70.12,19.94,0.01
"195",60.59,56.84,2020,7,13,195,2020-07-13,64.88,22.97,0
"196",60.59,56.84,2020,7,14,196,2020-07-14,59.88,25.51,0.01
"197",60.59,56.84,2020,7,15,197,2020-07-15,53.94,27.24,0
"198",60.59,56.84,2020,7,16,198,2020-07-16,50.81,27.75,0
"199",60.59,56.84,2020,7,17,199,2020-07-17,47.19,27.39,0.02
"200",60.59,56.84,2020,7,18,200,2020-07-18,61.25,24.75,0.5
"201",60.59,56.84,2020,7,19,201,2020-07-19,74.69,24.06,1.4
"202",60.59,56.84,2020,7,20,202,2020-07-20,89.12,19.55,8.38
"203",60.59,56.84,2020,7,21,203,2020-07-21,76,16.45,2.14
"204",60.59,56.84,2020,7,22,204,2020-07-22,64,18.01,0
"205",60.59,56.84,2020,7,23,205,2020-07-23,61.94,19.02,0.13
"206",60.59,56.84,2020,7,24,206,2020-07-24,59.62,17.4,0
"207",60.59,56.84,2020,7,25,207,2020-07-25,64.62,17.72,0.08
