"V1" "V2" "V3" "V4"
"1" "Sample" "Height" "Protein" "Oil"
"2" "V_0" "92.5" "39.8" "16.5"
"3" "V_1" "155" NA NA
"4" "V_2" "112.5" "42.1" "18.3"
"5" "V_3" "77.5" "43.5" "17.9"
"6" "V_4" "82.5" "40.8" "19.4"
"7" "V_5" "77.5" "42.4" "20"
"8" "V_6" "102.5" "41.1" "15.6"
"9" "V_7" "102.5" "43.1" "17.9"
"10" "V_8" "155" NA NA
"11" "V_9" "122.5" "44.7" "18.1"
"12" "V_10" "105" NA NA
"13" "V_11" "42.5" "40.7" "15.1"
"14" "V_12" "97.5" "43.1" "18.4"
"15" "V_13" "92.5" "42.6" "20.2"
"16" "V_14" "82.5" "42.4" "19.5"
"17" "V_15" "115" NA NA
"18" "V_16" "85" NA NA
"19" "V_17" "107.5" "42.7" "16.7"
"20" "V_19" "57.5" "39.8" "18.3"
"21" "V_20" "52.5" "41.1" "21.3"
"22" "V_21" "62.5" "39.7" "21.9"
"23" "V_22" "87.5" "40.8" "20.4"
"24" "V_23" "82.5" "41" "20.8"
"25" "V_24" "47.5" "44.3" "19.1"
"26" "V_25" "32.5" "45.5" "17.2"
"27" "V_26" "92.5" NA NA
"28" "V_27" "145" NA NA
"29" "V_28" "47.5" "42.9" "17.4"
"30" "V_29" "77.5" NA NA
"31" "V_30" "145" NA NA
"32" "V_31" "105" NA NA
"33" "V_32" "72.5" "39.6" "17.5"
"34" "V_33" "77.5" "36.7" "23.8"
"35" "V_34" "62.5" "42.5" "21.3"
"36" "V_35" "47.5" "44.2" "19.9"
"37" "V_36" "62.5" "42" "21.3"
"38" "V_37" "67.5" "42.2" "20.5"
"39" "V_39" "52.5" "42.2" "20"
"40" "V_40" "27.5" "41.5" "21.3"
"41" "V_41" "52.5" "45.4" "17.5"
"42" "V_42" "102.5" "40.1" "21.9"
"43" "V_43" "32.5" "40" "22.3"
"44" "V_44" "42.5" "41.8" "18.8"
"45" "V_45" "77.5" "42.6" "21.3"
"46" "V_46" "77.5" "41.4" "20.9"
"47" "V_47" "82.5" "38.9" "22.2"
"48" "V_48" "72.5" "41.6" "20.9"
"49" "V_49" "95" "42.3" "20.6"
"50" "V_50" "72.5" "40" "20.8"
"51" "V_51" "77.5" "42.5" "20.4"
"52" "V_52" "57.5" "42.2" "20.4"
"53" "V_53" "122.5" NA NA
"54" "V_54" "72.5" "41.2" "20.1"
"55" "V_55" "102.5" "43.8" "17.8"
"56" "V_56" "32.5" "41.7" "21.8"
"57" "V_57" "52.5" "42.1" "19"
"58" "V_58" "82.5" "40.5" "21.3"
"59" "V_59" "72.5" "42.5" "21.3"
"60" "V_60" "62.5" "38.8" "23.2"
"61" "V_61" "62.5" "43.1" "19.7"
"62" "V_62" "52.5" "41.2" "20.5"
"63" "V_63" "82.5" "41.4" "20.9"
"64" "V_64" "72.5" "40.3" "20.4"
"65" "V_65" "82.5" "42.6" "19.6"
"66" "V_66" "115" "42.4" "18.5"
"67" "V_67" "87.5" "40.3" "18.2"
"68" "V_68" "105" NA NA
"69" "V_69" "125" NA NA
"70" "V_70" "102.5" "41.1" "21.4"
"71" "V_71" "97.5" "39.3" "22"
"72" "V_72" "117.5" "40" "19.8"
"73" "V_73" "102.5" "42.1" "20.5"
"74" "V_74" "87.5" "42.1" "20.6"
"75" "V_75" "72.5" "41.2" "21.2"
"76" "V_76" "57.5" "41.8" "18.6"
"77" "V_77" "47.5" "44.8" "18"
"78" "V_78" "37.5" "43.4" "19.8"
"79" "V_79" "32.5" "40.3" "22"
"80" "V_80" "42.5" "41.6" "19.3"
"81" "V_81" "77.5" "42.4" "18.1"
"82" "V_82" "62.5" "41.8" "19.4"
"83" "V_83" "72.5" "42.7" "19.4"
"84" "V_84" "77.5" "42.1" "19.6"
"85" "V_85" "82.5" "41.6" "21.4"
"86" "V_86" "67.5" "42" "20.4"
"87" "V_87" "77.5" "40.6" "22.1"
"88" "V_88" "67.5" "42.8" "20.1"
"89" "V_89" "52.5" "41.3" "19"
"90" "V_90" "57.5" "43.7" "19.1"
"91" "V_91" "57.5" "44" "20.1"
"92" "V_92" "52.5" "41.2" "20.2"
"93" "V_93" "52.5" "40.1" "18.4"
"94" "V_94" "52.5" "41.9" "20"
"95" "V_95" "42.5" "41.6" "20.8"
"96" "V_96" "57.5" "41.4" "20.2"
"97" "V_97" "52.5" "42.1" "20.5"
"98" "V_98" "37.5" "42.2" "22.4"
"99" "V_99" "82.5" "44.6" "20.6"
"100" "V_100" "62.5" "41.8" "20.9"
